Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,166,28,T:System.Drawing.GraphicsUnit,,,,,"g.DrawImage(image, dest, source, GraphicsUnit.Pixel, imageAttributes, null);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,166,28,F:System.Drawing.GraphicsUnit.Pixel,,,,,"g.DrawImage(image, dest, source, GraphicsUnit.Pixel, imageAttributes, null);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,166,28,"M:System.Drawing.Graphics.DrawImage(System.Drawing.Image,System.Drawing.Point[],System.Drawing.Rectangle,System.Drawing.GraphicsUnit,System.Drawing.Imaging.ImageAttributes,System.Drawing.Graphics.DrawImageAbort)",,,,,"g.DrawImage(image, dest, source, GraphicsUnit.Pixel, imageAttributes, null);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,164,28,M:System.Drawing.Image.GetBounds(System.Drawing.GraphicsUnit@),,,,,"Rectangle source = Constants.FitIntoBounds(bounds, Rectangle.Round(image.GetBounds(ref units)), true, false);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,161,28,T:System.Drawing.Imaging.ColorAdjustType,,,,,"imageAttributes.SetColorMatrix(colorMatrix, ColorMatrixFlag.Default, ColorAdjustType.Bitmap);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,161,28,T:System.Drawing.Imaging.ColorAdjustType,,,,,"imageAttributes.SetColorMatrix(colorMatrix, ColorMatrixFlag.Default, ColorAdjustType.Bitmap);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,161,28,F:System.Drawing.Imaging.ColorAdjustType.Bitmap,,,,,"imageAttributes.SetColorMatrix(colorMatrix, ColorMatrixFlag.Default, ColorAdjustType.Bitmap);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,161,28,T:System.Drawing.Imaging.ColorMatrixFlag,,,,,"imageAttributes.SetColorMatrix(colorMatrix, ColorMatrixFlag.Default, ColorAdjustType.Bitmap);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,161,28,T:System.Drawing.Imaging.ColorMatrixFlag,,,,,"imageAttributes.SetColorMatrix(colorMatrix, ColorMatrixFlag.Default, ColorAdjustType.Bitmap);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,161,28,F:System.Drawing.Imaging.ColorMatrixFlag.Default,,,,,"imageAttributes.SetColorMatrix(colorMatrix, ColorMatrixFlag.Default, ColorAdjustType.Bitmap);"
